Type,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
Cancer1,22.92307692,69.46153846,73.76923077,2.692307692,82.07692308,1.1,1.185714286,4.235714286,5.230769231,3.635714286
Cancer2,17.56521739,65.04347826,79.73913043,51.41304348,49.39130435,22.13333333,7.314893617,6.15106383,1.02826087,9.234042553
Cancer3,23.45483871,70.67741935,78.5,39.70967742,71.08064516,16.76935484,9.032234375,8.915625,2.902222222,12.99047619
Cancer4,9.285714286,73.4,77.93333333,86.93333333,14.93333333,6.230769231,37.58461538,17.47142857,8.133333333,8.88
Cancer5,39.16666667,61.64,65.4,55.4,39.68,7.708333333,34.40769231,22.33846154,8.415384615,29.44615385
Cancer6,69.11111111,46.63157895,36.55789474,40.94736842,20.94736842,32.11111111,66.565,44.6,23.49,57.425
Cancer7,26.375,50.5,77.375,28,53.75,4.75,9.555555556,12.93333333,2.3125,11.51111111
